time,open,high,low,close,volume
2020-01-09 00:00:00+00:00,28810.0,28982.0,28777.0,28956.5,49253
2020-01-10 00:00:00+00:00,28967.0,29055.0,28785.5,28804.0,41759
2020-01-13 00:00:00+00:00,28830.5,28944.0,28816.0,28899.5,37376
2020-01-14 00:00:00+00:00,28913.5,29051.0,28773.5,28964.5,53431
2020-01-15 00:00:00+00:00,28962.5,29128.5,28877.5,29072.5,50601
2020-01-16 00:00:00+00:00,29078.5,29306.0,29073.5,29301.5,36378
2020-01-17 00:00:00+00:00,29290.5,29401.5,29281.5,29312.0,35978
2020-01-20 00:00:00+00:00,29321.0,29361.0,29266.5,29336.0,15218
2020-01-21 00:00:00+00:00,29336.5,29338.5,29148.0,29214.5,49621
2020-01-22 00:00:00+00:00,29234.79,29346.5,29134.0,29150.0,46648
2020-01-23 00:00:00+00:00,29135.0,29190.0,28961.5,29164.5,56138
2020-01-24 00:00:00+00:00,29174.5,29281.5,28840.5,28951.5,63592
2020-01-27 00:00:00+00:00,28722.5,28778.5,28453.0,28542.0,95535
2020-01-28 00:00:00+00:00,28525.0,28823.0,28522.5,28798.5,71195
2020-01-29 00:00:00+00:00,28795.0,28932.5,28700.0,28745.5,67235
2020-01-30 00:00:00+00:00,28748.5,28893.0,28478.0,28883.0,100252
2020-01-31 00:00:00+00:00,28872.0,28932.5,28159.0,28279.5,104357
2020-02-03 00:00:00+00:00,28249.5,28633.0,28249.5,28425.5,96109
2020-02-04 00:00:00+00:00,28389.0,28903.5,28345.5,28844.5,73383
2020-02-05 00:00:00+00:00,28831.5,29333.5,28751.0,29306.5,85243
2020-02-06 00:00:00+00:00,29324.0,29528.5,29244.0,29410.0,73464
2020-02-07 00:00:00+00:00,29398.5,29412.5,29053.0,29078.5,76647
2020-02-10 00:00:00+00:00,29059.5,29293.5,28894.0,29284.5,72965
2020-02-11 00:00:00+00:00,29274.5,29440.5,29209.5,29288.0,58244
2020-02-12 00:00:00+00:00,29304.0,29583.0,29256.5,29574.5,49582
2020-02-13 00:00:00+00:00,29535.5,29557.5,29261.5,29460.5,69409
2020-02-14 00:00:00+00:00,29438.0,29527.5,29281.0,29415.5,53646
2020-02-17 00:00:00+00:00,29429.5,29493.0,29414.0,29468.5,21893
2020-02-18 00:00:00+00:00,29468.5,29468.5,29114.0,29244.5,61062
2020-02-19 00:00:00+00:00,29253.0,29410.0,29248.0,29357.5,45202
2020-02-20 00:00:00+00:00,29382.5,29447.0,28949.0,29169.5,77607
2020-02-21 00:00:00+00:00,29171.5,29189.5,28887.5,28992.0,90872
2020-02-24 00:00:00+00:00,28707.5,28766.0,27908.0,27985.5,133407
