time,open,high,low,close
2025-04-21 16:00:00+00:00,9.4736,9.55936,9.47272,9.54024
2025-04-21 20:00:00+00:00,9.53884,9.55842,9.50694,9.523530000000001
2025-04-22 00:00:00+00:00,9.52149,9.53906,9.48842,9.52496
2025-04-22 04:00:00+00:00,9.525079999999999,9.53124,9.48486,9.5029
2025-04-22 08:00:00+00:00,9.50294,9.58175,9.47284,9.54526
2025-04-22 12:00:00+00:00,9.54516,9.553560000000001,9.47006,9.52815
2025-04-22 16:00:00+00:00,9.52848,9.53679,9.46616,9.53588
2025-04-22 20:00:00+00:00,9.53512,9.57534,9.51772,9.5613
2025-04-23 00:00:00+00:00,9.56453,9.65085,9.5577,9.58548
2025-04-23 04:00:00+00:00,9.58486,9.59534,9.55296,9.56342
2025-04-23 08:00:00+00:00,9.56358,9.60998,9.54296,9.55686
2025-04-23 12:00:00+00:00,9.55676,9.60726,9.53288,9.58642
2025-04-23 16:00:00+00:00,9.58658,9.68786,9.56225,9.67742
2025-04-23 20:00:00+00:00,9.67726,9.71188,9.66526,9.69628
2025-04-24 00:00:00+00:00,9.69421,9.69914,9.65866,9.66878
2025-04-24 04:00:00+00:00,9.66878,9.68408,9.65394,9.68386
2025-04-24 08:00:00+00:00,9.68386,9.691559999999999,9.62388,9.62876
2025-04-24 12:00:00+00:00,9.62926,9.63396,9.57348,9.59566
2025-04-24 16:00:00+00:00,9.59516,9.62162,9.56106,9.59638
2025-04-24 20:00:00+00:00,9.59642,9.60696,9.57836,9.59962
2025-04-25 00:00:00+00:00,9.5992,9.62636,9.56242,9.62104
2025-04-25 04:00:00+00:00,9.62002,9.64586,9.60996,9.62476
2025-04-25 08:00:00+00:00,9.62592,9.66098,9.59259,9.65176
2025-04-25 12:00:00+00:00,9.65176,9.72228,9.64388,9.70384
2025-04-25 16:00:00+00:00,9.70096,9.73696,9.66798,9.67932
2025-04-25 20:00:00+00:00,9.67918,9.68776,9.66104,9.67496
2025-04-28 00:00:00+00:00,9.7091,9.73886,9.65616,9.6887
2025-04-28 04:00:00+00:00,9.68616,9.70036,9.67376,9.67382
2025-04-28 08:00:00+00:00,9.67376,9.71382,9.66096,9.6949
2025-04-28 12:00:00+00:00,9.69536,9.69775,9.65176,9.65936
2025-04-28 16:00:00+00:00,9.65956,9.66182,9.58444,9.59644
2025-04-28 20:00:00+00:00,9.59637,9.60534,9.55582,9.58579
2025-04-29 00:00:00+00:00,9.57729,9.603580000000001,9.53844,9.60226
2025-04-29 04:00:00+00:00,9.60226,9.62748,9.56948,9.62027
2025-04-29 08:00:00+00:00,9.61964,9.63372,9.58101,9.60086
2025-04-29 12:00:00+00:00,9.60046,9.65774,9.58928,9.61106
2025-04-29 16:00:00+00:00,9.61146,9.64286,9.58496,9.61936
2025-04-29 20:00:00+00:00,9.6191,9.63756,9.60202,9.62813
2025-04-30 00:00:00+00:00,9.628260000000001,9.6483,9.59936,9.64195
2025-04-30 04:00:00+00:00,9.64172,9.66724,9.63456,9.64634
2025-04-30 08:00:00+00:00,9.64634,9.65272,9.60566,9.6351
2025-04-30 12:00:00+00:00,9.63421,9.6642,9.62739,9.65986
2025-04-30 16:00:00+00:00,9.66022,9.68398,9.6348,9.65718
2025-04-30 20:00:00+00:00,9.65668,9.66762,9.63986,9.6623
2025-05-01 00:00:00+00:00,9.65949,9.67036,9.63113,9.65246
2025-05-01 04:00:00+00:00,9.65246,9.68476,9.65246,9.68376
2025-05-01 08:00:00+00:00,9.68376,9.70686,9.67138,9.6954
2025-05-01 12:00:00+00:00,9.69543,9.72334,9.68566,9.715160000000001
2025-05-01 16:00:00+00:00,9.71586,9.780429999999999,9.7095,9.7526
2025-05-01 20:00:00+00:00,9.75216,9.76746,9.72355,9.7438
2025-05-02 00:00:00+00:00,9.7438,9.76494,9.71323,9.74508
2025-05-02 04:00:00+00:00,9.74554,9.7462,9.70506,9.73086
2025-05-02 08:00:00+00:00,9.73086,9.7316,9.67536,9.67862
2025-05-02 12:00:00+00:00,9.67751,9.68128,9.63086,9.64431
2025-05-02 16:00:00+00:00,9.64438,9.65478,9.58608,9.64306
2025-05-02 20:00:00+00:00,9.64306,9.66108,9.62142,9.63265
2025-05-05 00:00:00+00:00,9.64581,9.64841,9.62056,9.63658
2025-05-05 04:00:00+00:00,9.63566,9.63678,9.60128,9.60276
2025-05-05 08:00:00+00:00,9.60276,9.6677,9.59336,9.66586
2025-05-05 12:00:00+00:00,9.6653,9.67044,9.60006,9.61156
2025-05-05 16:00:00+00:00,9.61156,9.68183,9.59662,9.67488
2025-05-05 20:00:00+00:00,9.67488,9.67984,9.65103,9.66085
2025-05-06 00:00:00+00:00,9.661,9.69188,9.64444,9.68992
2025-05-06 04:00:00+00:00,9.6901,9.69586,9.64574,9.65006
2025-05-06 08:00:00+00:00,9.64988,9.67486,9.62196,9.63782
2025-05-06 12:00:00+00:00,9.63782,9.65476,9.57496,9.58016
2025-05-06 16:00:00+00:00,9.57896,9.59636,9.55006,9.57522
2025-05-06 20:00:00+00:00,9.57456,9.57502,9.54966,9.56673
2025-05-07 00:00:00+00:00,9.56673,9.61856,9.52776,9.57374
2025-05-07 04:00:00+00:00,9.57236,9.5946,9.557220000000001,9.59252
2025-05-07 08:00:00+00:00,9.59252,9.60916,9.54974,9.58876
2025-05-07 12:00:00+00:00,9.59006,9.60966,9.57806,9.60384
2025-05-07 16:00:00+00:00,9.6039,9.62669,9.584060000000001,9.59696
2025-05-07 20:00:00+00:00,9.59722,9.670960000000001,9.58122,9.66727
2025-05-08 00:00:00+00:00,9.66771,9.66986,9.62597,9.65259
2025-05-08 04:00:00+00:00,9.65279,9.65668,9.616859999999999,9.62658
2025-05-08 08:00:00+00:00,9.62658,9.70406,9.62622,9.67896
2025-05-08 12:00:00+00:00,9.67926,9.68542,9.62326,9.64436
2025-05-08 16:00:00+00:00,9.64436,9.74046,9.63292,9.71359
2025-05-08 20:00:00+00:00,9.71468,9.75356,9.70994,9.73468
