time,open,high,low,close,volume
2022-04-01 22:00:00+00:00,34758.2,34843.3,34654.2,34810.7,9183
2022-04-01 23:00:00+00:00,34805.8,34816.2,34746.7,34793.7,3104
2022-04-04 01:00:00+00:00,34797.3,34820.8,34764.3,34782.8,2134
2022-04-04 02:00:00+00:00,34782.8,34797.0,34741.3,34755.8,1874
2022-04-04 03:00:00+00:00,34755.8,34766.3,34735.8,34759.8,2409
2022-04-04 04:00:00+00:00,34759.8,34791.5,34746.3,34777.3,2488
2022-04-04 05:00:00+00:00,34777.3,34784.3,34765.8,34777.6,1884
2022-04-04 06:00:00+00:00,34777.7,34815.2,34772.8,34810.8,1968
2022-04-04 07:00:00+00:00,34809.8,34834.2,34808.8,34833.3,1439
2022-04-04 08:00:00+00:00,34833.3,34869.7,34814.3,34868.8,2486
2022-04-04 09:00:00+00:00,34869.6,34887.3,34830.0,34843.7,2971
2022-04-04 10:00:00+00:00,34848.7,34850.0,34739.0,34768.0,5837
2022-04-04 11:00:00+00:00,34768.0,34790.2,34725.0,34760.5,5143
2022-04-04 12:00:00+00:00,34760.7,34845.2,34759.0,34836.0,4350
2022-04-04 13:00:00+00:00,34836.0,34852.7,34792.0,34797.0,3345
2022-04-04 14:00:00+00:00,34796.5,34844.0,34796.0,34835.7,3389
2022-04-04 15:00:00+00:00,34835.7,34852.7,34766.0,34771.0,4036
2022-04-04 16:00:00+00:00,34771.7,34803.1,34611.0,34770.3,7384
2022-04-04 17:00:00+00:00,34769.5,34832.1,34708.5,34781.0,9314
2022-04-04 18:00:00+00:00,34780.0,34888.5,34767.0,34867.5,7988
2022-04-04 19:00:00+00:00,34867.5,34879.5,34799.5,34828.5,6773
2022-04-04 20:00:00+00:00,34828.5,34868.7,34814.6,34866.0,6445
2022-04-04 21:00:00+00:00,34866.0,34927.0,34846.1,34914.5,6612
2022-04-04 22:00:00+00:00,34914.5,34942.5,34861.5,34935.0,7750
2022-04-04 23:00:00+00:00,34933.5,34947.7,34906.5,34908.0,2551
2022-04-05 01:00:00+00:00,34904.4,34910.8,34895.9,34898.8,982
2022-04-05 02:00:00+00:00,34898.4,34906.4,34886.4,34886.4,1076
2022-04-05 03:00:00+00:00,34885.4,34887.8,34861.1,34874.6,2688
2022-04-05 04:00:00+00:00,34874.6,34888.1,34864.1,34885.1,2031
2022-04-05 05:00:00+00:00,34885.1,34888.1,34870.1,34873.1,1164
2022-04-05 06:00:00+00:00,34873.1,34878.5,34861.1,34870.1,1355
2022-04-05 07:00:00+00:00,34870.1,34886.0,34868.6,34881.1,1626
2022-04-05 08:00:00+00:00,34881.1,34896.3,34875.6,34893.1,1475
2022-04-05 09:00:00+00:00,34893.9,34910.3,34866.1,34879.1,2870
2022-04-05 10:00:00+00:00,34883.0,34971.9,34875.9,34951.4,6467
2022-04-05 11:00:00+00:00,34951.4,34964.1,34906.4,34912.8,3928
2022-04-05 12:00:00+00:00,34913.0,34918.2,34839.9,34845.9,3780
2022-04-05 13:00:00+00:00,34845.9,34861.4,34808.4,34835.9,4949
2022-04-05 14:00:00+00:00,34835.4,34857.4,34815.4,34852.9,3945
2022-04-05 15:00:00+00:00,34852.9,34865.9,34817.4,34824.4,4172
2022-04-05 16:00:00+00:00,34824.4,35041.0,34772.4,35017.3,7431
2022-04-05 17:00:00+00:00,35017.4,35106.8,34834.4,34919.5,10039
2022-04-05 18:00:00+00:00,34918.5,34927.5,34834.0,34835.5,8827
2022-04-05 19:00:00+00:00,34836.0,34867.2,34783.0,34833.0,8055
2022-04-05 20:00:00+00:00,34831.5,34918.0,34762.0,34782.0,7475
