lang,repo,path,chars,fams,n_fam,external,ml,stoploss,timeframe,has_roi
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_hhll (1).py,34704,bbands|heikin,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAwerk.py,13933,bbands|heikin,2,False,False,-0.02139,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucMay72018.py,2858,adx|bbands|macd,3,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CofiBitStrategy.py,2446,adx|stoch,2,False,False,-0.25,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc.py,3228,bbands,1,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc2021.py,3790,bbands,1,False,False,-0.09,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc2021Bull.py,3804,bbands,1,False,False,-0.09,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV2.py,6119,atr|bbands|mfi|rsi|stoch,5,False,False,-0.05,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV4.py,4729,bbands,1,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV5.py,6798,bbands,1,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV6.py,10525,atr|bbands,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV6H.py,20405,atr|bbands,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV7.py,16156,atr|bbands|mfi,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV8.py,23831,atr|bbands|mfi,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV8Hyper.py,21408,atr|bbands|mfi,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV8XH.py,23737,atr|bbands|mfi,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHClucAndMADV3.py,8682,bbands|macd,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHClucAndMADV6.py,13559,atr|bbands|macd,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHClucAndMADV9.py,20540,atr|bbands|macd,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,Combined_NFIv6_SMA.py,193309,bbands|mfi,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,Combined_NFIv7_SMA (1).py,221631,bbands|mfi,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,Combined_NFIv7_SMA.py,221630,bbands|mfi,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CrossEMAStrategy.py,7825,stoch,1,False,False,-0.99,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,DevilStra.py,26616,bbands|cci|macd|obv|stoch|williams,6,False,False,-0.28,4h,True
freqtrade,PeetCrypto/freqtrade-stuff,Dracula.py,10350,bbands|ema,2,False,False,-0.2,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,EMASkipPump.py,2985,bbands,1,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ElliotV7.py,8611,bbands|ema|macd,3,False,False,-0.32,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ElliotV8.py,6548,ema,1,False,False,-0.32,5m,True
